0
";2017-09-08 12:37;0;0;""#ChebukatiMemoToChiloba the real issue ni #AkombeMustGo"";;;#ChebukatiMemoToChiloba #AkombeMustGo;""906089032135860224"";https://twitter.com/MutumaHarrison/status/906089032135860224        "
";2017-09-08 12:36;0;0;""#AkombeMustGo i thought akombe ni dp chair.. Kumbe ni kiherehere ndio mingi.. Akwende pic.twitter.com/x63F8I5DPD"";;;#AkombeMustGo;""906088727092400128"";https://twitter.com/MutumaHarrison/status/906088727092400128        "
";2017-09-08 12:35;0;0;""#AkombeMustGo i have never liked this akombe... Akwende kabisa"";;;#AkombeMustGo;""906088512184659972"";https://twitter.com/MutumaHarrison/status/906088512184659972        "
";2017-09-08 12:19;0;0;""If you fail to plan  you're planning to fail #AkombeMustGo Raila only idiots will contribute to this poor failed man https://twitter.com/Tedddy51/status/906067600442044417/photo/1 pic.twitter.com/dRre93aOXz"";;;#AkombeMustGo;""906084658940710912"";https://twitter.com/BarazaBrown/status/906084658940710912       "
";2017-09-08 12:09;0;0;""#AkombeMustGo Huyo amefanya what?"";;;#AkombeMustGo;""906082086288797696"";https://twitter.com/NjorogeMG/status/906082086288797696        "
";2017-09-08 12:06;4;0;""#AkombeMustGo #SaveNNP #NTVWild #BigfootAdventuresKenya @kwskenya @SmritiVidyarthi @Bigfootkenya"";;@kwskenya @SmritiVidyarthi @Bigfootkenya;#AkombeMustGo #SaveNNP #NTVWild #BigfootAdventuresKenya;""906081348498096129"";https://twitter.com/KeitusPromo/status/906081348498096129        "
";2017-09-08 11:54;7;5;""#AkombeMustGo and if she doesn't go then she must leave! Kenyans deserve better @QCollie @EddyKing1 @Asamoh_ @TheKenyanPost @LittlerachiK pic.twitter.com/QJd3QmLn1F"";;@QCollie @EddyKing1 @Asamoh_ @TheKenyanPost @LittlerachiK;#AkombeMustGo;""906078266477465600"";https://twitter.com/MsemaKweliKenya/status/906078266477465600        "
";2017-09-08 11:48;2;2;""NASA's inside man was a woman the whole time! All things will be exposed. #AkombeMustGo https:// twitter.com/Kim_Njuguna/st atus/906068310575521792 …"";;;#AkombeMustGo;""906076650726723585"";https://twitter.com/MsemaKweliKenya/status/906076650726723585        "
";2017-09-08 11:46;1;3;""Theft of secure items requires determination on the part of the thief & inside help for success. Who is the inside help? #AkombeMustGo pic.twitter.com/yghIuYFjE8"";;;#AkombeMustGo;""906076232135180288"";https://twitter.com/KenyaOne_/status/906076232135180288        "
";2017-09-08 11:45;0;1;""@misssKenyatta @PaulMMwangi @michaelggitonga #AkombeMustGo #ChebukatiMemoToChiloba https:// twitter.com/ILeloon/status /906075203951841280 …"";;@misssKenyatta @PaulMMwangi @michaelggitonga;#AkombeMustGo #ChebukatiMemoToChiloba;""906075911388258304"";https://twitter.com/ILeloon/status/906075911388258304        "
";2017-09-08 11:42;0;0;""what kind of destiny are you talking about while #AkombeMustGo is what you are thinking that is hypocrisy"";;;#AkombeMustGo;""906075217373605888"";https://twitter.com/Camiaso/status/906075217373605888        "
";2017-09-08 11:26;3;5;""When public opinion is muddied against you  your worst ally is one that can be proven to be carrying the pail of mud #AkombeMustGo pic.twitter.com/7UBOpwSqDe"";;;#AkombeMustGo;""906071154141614080"";https://twitter.com/KenyaOne_/status/906071154141614080       "
";2017-09-08 11:24;1;1;""Wafula Chebukati will cost Kenya dearly if he does not fix situation of Akombe #AkombeMustGo @manfeab44 @vinny_wa @Machukah @Iam_Zedekiah pic.twitter.com/rRpnr7u5Eo"";;@manfeab44 @vinny_wa @Machukah @Iam_Zedekiah;#AkombeMustGo;""906070775169503232"";https://twitter.com/MsemaKweliKenya/status/906070775169503232        "
";2017-09-08 11:23;0;1;""#AkombeMustGo Am voting Jubilee this time round"";;;#AkombeMustGo;""906070539323805696"";https://twitter.com/danlangat_/status/906070539323805696        "
";2017-09-08 11:22;1;6;""The surest way to attract attention to your thief is to neglect their prosecution from among a group of thieves #AkombeMustGo pic.twitter.com/hmv1cnf8I0"";;;#AkombeMustGo;""906070288340840448"";https://twitter.com/KenyaOne_/status/906070288340840448        "
";2017-09-08 11:21;0;0;""#AkombeMustGo She is the reason for wrangles in IEBC  to be honest why is she quite and she oversee elections? Maybe being used! Mmh"";;;#AkombeMustGo;""906069929421623298"";https://twitter.com/Emmanue60593680/status/906069929421623298      "
";2017-09-08 11:21;0;0;""#AkombeMustGo https:// twitter.com/MotoBilaMoshi/ status/906065649935503360 …"";;;#AkombeMustGo;""906069848597417985"";https://twitter.com/courtesy_ruto/status/906069848597417985        "
";2017-09-08 11:19;1;0;""We have been accommodating of Raila's tantrums. But planting Akombe to steal power is unacceptable #AkombeMustGo @iklanlaku_ @GhaflaKenya pic.twitter.com/6SeYa2RQPY"";;@iklanlaku_ @GhaflaKenya;#AkombeMustGo;""906069500570808320"";https://twitter.com/MsemaKweliKenya/status/906069500570808320        "
";2017-09-08 11:19;0;0;""#AkombeMustGo https:// twitter.com/PLO_Lumumba_/s tatus/906067249869594626 …"";;;#AkombeMustGo;""906069468199223297"";https://twitter.com/courtesy_ruto/status/906069468199223297        "
";2017-09-08 11:17;0;2;""After failing to scandalize @dkmaraga now they have embarked on @kwamboka_akombe Under hashtag #AkombeMustGo . She's going nowhere. Idiots"";;@dkmaraga @kwamboka_akombe;#AkombeMustGo;""906068907349430272"";https://twitter.com/Caleb_simba/status/906068907349430272        "
";2017-09-08 11:15;0;1;""Jubilee top leadership has sponsored an online hashtag #AkombeMustGo which's basically a direct attack on Omogusii community at large"";;;#AkombeMustGo;""906068575294808065"";https://twitter.com/Caleb_simba/status/906068575294808065        "
";2017-09-08 11:12;0;0;""You're privy to info that would have greatly aided Jubilee lawyers. However isn't your imagination is overdrive mode? #AkombeMustGo"";;;#AkombeMustGo;""906067636185915392"";https://twitter.com/JamesTali/status/906067636185915392        "
";2017-09-08 11:10;2;9;""Leaked documents expose a cowardice to do what is right for the fidelity to justice of state officers #ChebukatiMemoToChiloba #AkombeMustGo pic.twitter.com/K4AkA3fXPR"";;;#ChebukatiMemoToChiloba #AkombeMustGo;""906067249869594626"";https://twitter.com/KenyaOne_/status/906067249869594626        "
";2017-09-08 11:07;0;0;""@RailaOdinga confrontational talk is slowly fading..things falling apart?.someone within his inner circle was in contact with #AkombeMustGo"";;@RailaOdinga;#AkombeMustGo;""906066424220839937"";https://twitter.com/mandere/status/906066424220839937        "
";2017-09-08 11:06;3;3;""Akombe is being used by NASA as a backdoor to power. Chebukati should be ashamed being misled by her #AkombeMustGo #FeelGoodFriday pic.twitter.com/O4r4sQLzwP"";;;#AkombeMustGo #FeelGoodFriday;""906066321556865024"";https://twitter.com/MsemaKweliKenya/status/906066321556865024        "
";2017-09-08 11:03;0;0;""Baba is creating crisis at IEBC so that elections don't happen at 17th #AkombeMustGo #FakeNews #IEBCcrisis"";;;#AkombeMustGo #FakeNews #IEBCcrisis;""906065533908512768"";https://twitter.com/DaxtonMr/status/906065533908512768        "
